Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),Latitude,Longitude,Balancing Authority Code
56769,Consolidated Edison Development Inc.,56944,CM10,NV,Clark,PV01,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,12,2008,,,,Y,,,,,,,180.0,25.0,12.4,,Y,,,,,N, ,N, ,35.7881,-114.9933,CISO
17609,Southern California Edison Co,56996,Solar Photovoltaic Project #02,CA,San Bernardino,S1A,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,12,2009,,,,Y,,,,,,,180.0,0.0,0.6,,Y,,,,,N, ,N, ,33.985244,-117.700826,CISO
17609,Southern California Edison Co,56996,Solar Photovoltaic Project #02,CA,San Bernardino,S1B,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,12,2009,,,,Y,,,,,,,180.0,0.0,0.6,,Y,,,,,N, ,N, ,33.985244,-117.700826,CISO
56294,SunE WG113 Moreno Valley LLC,57004,SunEdison Walgreens Moreno Valley,CA,Riverside,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,9,2007,,Y,,,,,,,,,180.0,15.0,1.2,Y,,,,,,Y,1.0,N, ,33.8672,-117.23,CISO
56431,SunE U6 Holdings LLC,57005,Mariani Packing Vacaville Solar,CA,Solano,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,11,2008,,Y,,,,,,,,,100.0, ,1.1,Y,,,,,,Y,1.0,N, ,38.40008,-121.96366,CISO
56296,SunE WG45 Woodland LLC,57006,Walgreens Woodland Distribution Center,CA,Yolo,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,8,2007,,Y,,,,,,,,,180.0,15.0,1.2,Y,,,,,,Y,1.0,N, ,38.674894,-121.713362,CISO
56297,SunE CPA CDC2 LLC,57007,SunEdison Ironwood State Prison,CA,Riverside,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,5,2008,,Y,,,,,,,,,90.0, ,1.2,Y,,,,,,N, ,N, ,33.567268,-114.917979,CISO
56431,SunE U6 Holdings LLC,57008,SunEdison Procter & Gamble Oxnard,CA,Ventura,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.8,0.8,10,2009,,,,Y,,,,,,,180.0,20.0,1.1,,Y,,,,,Y,1.0,N, ,34.2089,-119.13,CISO
61219,Longroad Energy Services LLC,57009,Kohls San Bernardino Solar Facility,CA,San Bernardino,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,11,2007,,Y,,,,,,,,,180.0,0.0,1.2,Y,,,,,,Y,1.0,N, ,34.094695,-117.266831,CISO
56434,SunE M5 Holdings LLC,57010,SunEdison Anheuser Busch Fairfield,CA,Solano,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,12,2008,,Y,,,,,,,,,0.0,0.0,1.1,Y,,,,,,N, ,N, ,38.232108,-122.092706,CISO
56302,SunE CPA CDC1 LLC,57011,Chuckawalla Valley State Prison,CA,Riverside,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,6,2006,,,,Y,,,,,,,180.0,20.0,1.2,Y,,,,,,N, ,N, ,33.565329,-114.903629,CISO
56434,SunE M5 Holdings LLC,57012,SunEdison Walmart Apple Valley DC,CA,San Bernardino,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,0.9,0.9,3,2009,,Y,,,,,,,,,0.0,0.0,1.1,Y,,,,,,Y,1.0,N, ,34.5975,-117.2,CISO
14328,Pacific Gas & Electric Co.,57041,Vaca Dixon Solar Station,CA,Solano,1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.0,2.0,2.0,12,2009,,,,Y,,,,,,,180.0,30.0,2.6,Y,,,,,,N, ,N, ,38.4106,-121.9264,CISO
56769,Consolidated Edison Development Inc.,57205,CM48,NV,Clark,PV02,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,8.0,8.0,8.0,6,2010,,,,Y,,,,,,,180.0,25.0,10.1,,Y,,,,,N, ,N, ,35.7814,-114.9933,CISO
56769,Consolidated Edison Development Inc.,57205,CM48,NV,Clark,PV03,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,9,2010,,,,Y,,,,,,,180.0,25.0,12.6,,Y,,,,,N, ,N, ,35.7814,-114.9933,CISO
56769,Consolidated Edison Development Inc.,57205,CM48,NV,Clark,PV04,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,10,2010,,,,Y,,,,,,,180.0,25.0,12.6,,Y,,,,,N, ,N, ,35.7814,-114.9933,CISO
56769,Consolidated Edison Development Inc.,57205,CM48,NV,Clark,PV05,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,11,2010,,,,Y,,,,,,,180.0,25.0,12.6,,Y,,,,,N, ,N, ,35.7814,-114.9933,CISO
56769,Consolidated Edison Development Inc.,57205,CM48,NV,Clark,PV06,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,12,2010,,,,Y,,,,,,N,180.0,25.0,12.6,,Y,,,,,N, ,N, ,35.7814,-114.9933,CISO
17609,Southern California Edison Co,57217,Solar Photovoltaic Project #03,CA,San Bernardino,S003A,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,3,2011,,,,Y,,,,,,,180.0,0.0,0.6,,Y,,,,,N, ,N, ,34.094279,-117.400113,CISO
17609,Southern California Edison Co,57217,Solar Photovoltaic Project #03,CA,San Bernardino,S003B,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,3,2011,,,,Y,,,,,,,180.0,0.0,0.6,,Y,,,,,N, ,N, ,34.094279,-117.400113,CISO
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,San Bernardino,S005A,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,,180.0,5.0,0.7,Y,,,,,,N, ,N, ,34.086276,-117.230571,CISO
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,San Bernardino,S005B,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,,180.0,5.0,0.7,Y,,,,,,N, ,N, ,34.086276,-117.230571,CISO
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,San Bernardino,S005C,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,,180.0,5.0,0.7,Y,,,,,,N, ,N, ,34.086276,-117.230571,CISO
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,San Bernardino,S005D,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,,180.0,5.0,0.7,Y,,,,,,N, ,N, ,34.086276,-117.230571,CISO
17609,Southern California Edison Co,57219,Solar Photovoltaic Project #05,CA,San Bernardino,S005E,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,11,2012,,,,Y,,,,,,,180.0,5.0,0.7,Y,,,,,,N, ,N, ,34.086276,-117.230571,CISO
17609,Southern California Edison Co,57220,Solar Photovoltaic Project #06,CA,San Bernardino,S006A,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,,180.0,10.0,0.6,Y,,,,,,N, ,N, ,34.041389,-117.573055,CISO
17609,Southern California Edison Co,57220,Solar Photovoltaic Project #06,CA,San Bernardino,S006B,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,,180.0,10.0,0.6,Y,,,,,,N, ,N, ,34.041389,-117.573055,CISO
17609,Southern California Edison Co,57220,Solar Photovoltaic Project #06,CA,San Bernardino,S006C,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,,180.0,10.0,0.6,Y,,,,,,N, ,N, ,34.041389,-117.573055,CISO
17609,Southern California Edison Co,57220,Solar Photovoltaic Project #06,CA,San Bernardino,S006D,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,8,2011,,,,Y,,,,,,,180.0,10.0,0.6,Y,,,,,,N, ,N, ,34.041389,-117.573055,CISO
